name,years,reviews,employee,rating,type,highly_rated_for
Cummins,61 years old,3.2k,5k-10k Employees,4.4,Auto Components,"Company Culture, Work Life Balance, Skill Development / Learning"
BNY Mellon,19 years old,3.2k,10k-50k Employees,4.1,Investment Banking / Venture Capital / Private Equity,"Company Culture, Work Life Balance, Job Security"
Nagarro,Munich +33 more,3.2k,10k-50k Employees,4.2,IT Services & Consulting,"Company Culture, Work Life Balance, Job Security"
Virtusa Consulting Services,Southborough +28 more,3.2k,10k-50k Employees,3.8,IT Services & Consulting,null
BT Group,177 years old,3.2k,10k-50k Employees,4.1,Telecom,"Job Security, Work Life Balance, Company Culture"
IQVIA,41 years old,3.2k,10k-50k Employees,4.1,Clinical Research,"Job Security, Company Culture, Work Life Balance"
SMFG India Credit,Mumbai +464 more,3.2k,10k-50k Employees,4.1,NBFC,"Salary & Benefits, Job Security, Skill Development / Learning"
GlobalLogic,San Jose +29 more,3.2k,10k-50k Employees,3.8,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture"
ICICI Lombard General Insurance Company,22 years old,3.2k,10k-50k Employees,3.8,Insurance,Job Security
Amdocs,41 years old,3.2k,10k-50k Employees,4.0,Software Product,"Company Culture, Job Security"
Schneider Electric,24 years old,3.1k,10k-50k Employees,4.1,Industrial Automation,"Company Culture, Skill Development / Learning, Job Security"
Future Group,10 years old,3.1k,10k-50k Employees,4.3,Retail,"Skill Development / Learning, Company Culture, Work Life Balance"
Intelenet Global Services,Mumbai +57 more,3.1k,10k-50k Employees,3.7,BPO,null
CBRE,117 years old,3.1k,10k-50k Employees,4.2,Real Estate,"Skill Development / Learning, Job Security, Company Culture"
Samsung,85 years old,3k,5k-10k Employees,4.1,Consumer Electronics & Appliances,"Skill Development / Learning, Work Life Balance, Job Security"
L&T Technology Services,11 years old,3k,10k-50k Employees,3.4,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits"
State Bank of India,217 years old,3k,1 Lakh+ Employees,3.7,Banking,Job Security
