name,years,reviews,employee,rating,type,highly_rated_for
Van Heusen,New York +57 more,196,51-200 Employees,4.2,Fashion & Textile,"Skill Development / Learning, Work Life Balance, Company Culture"
MNC Group,Jakarta +38 more,196,1 Lakh+ Employees (Global),4.2,Investment Banking / Venture Capital / Private Equity,"Salary & Benefits, Company Culture, Skill Development / Learning"
Mindlance,Union +8 more,196,1k-5k Employees,3.9,Recruitment,"Work Life Balance, Company Culture"
Lipi Data Systems,Mumbai +42 more,196,501-1k Employees,3.7,Printing & Publishing,null
Bony Polymers,Faridabad +12 more,196,201-500 Employees,3.9,Auto Components,null
Country Club India,Hyderabad/Secunderabad +25 more,196,5k-10k Employees,3.7,Hospitality,null
MTR Foods,99 years old,196,1k-5k Employees,4.1,Food Processing,"Job Security, Work Life Balance, Company Culture"
Government of Maharashtra,Mumbai +47 more,196,1k-5k Employees (Global),4.2,Government,"Skill Development / Learning, Work Life Balance, Job Security"
Samarth LifeSciences,Mumbai +32 more,196,501-1k Employees,3.3,Pharma,Promotions / Appraisal
Lalitha Jewellery,Chennai +26 more,196,1k-5k Employees,4.0,Jewellery,"Job Security, Skill Development / Learning, Work Satisfaction"
S Chand Group,84 years old,196,1k-5k Employees,3.9,Education & Training,"Work Life Balance, Job Security, Work Satisfaction"
Ambit Finvest,null,196,Mumbai +47 more,4.1,51-200 Employees,"Salary & Benefits, Company Culture, Work Life Balance"
Teachnook,2 years old,196,201-500 Employees,3.5,EdTech,null
Coolberg Beverages,Mumbai +29 more,196,201-500 Employees,3.5,Beverage,null
Biz 2 Credit Info Services,New York +2 more,196,201-500 Employees,4.0,Financial Services,"Job Security, Work Life Balance, Salary & Benefits"
Protiviti India Member,Menlo Park +20 more,196,501-1k Employees,3.4,Management Consulting,null
Hughes Systique Corporation,Rockville +3 more,196,501-1k Employees,3.8,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture"
Madhucon Projects,40 years old,196,1k-5k Employees,3.2,Engineering & Construction,"Promotions / Appraisal, Company Culture"
Micro Plastics,Bengaluru/Bangalore +9 more,195,501-1k Employees,3.7,Petrochemicals,null
Arcesium,New York City +4 more,195,1k-5k Employees,3.9,IT Services & Consulting,"Job Security, Company Culture, Salary & Benefits"
VSynergize Outsourcing,Boston,195,201-500 Employees,4.0,Marketing & Advertising,"Salary & Benefits, Work Life Balance, Work Satisfaction"
Data-Core Systems,Bristol +7 more,195,201-500 Employees,3.3,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits"
Bal Pharma,36 years old,195,1k-5k Employees,3.6,Pharma,null
Navata Road Transport,Vijayawada +27 more,195,1k-5k Employees,3.7,Logistics,null
Adani Gas,19 years old,195,201-500 Employees,3.5,Oil & Gas,Job Security
Knack Global,Woodbridge +7 more,195,501-1k Employees,3.2,IT Services & Consulting,"Work Satisfaction, Work Life Balance"
Navata Road Transport,Vijayawada +27 more,195,1k-5k Employees,3.7,Logistics,null
Orion Innovation,New Jersey +10 more,195,1k-5k Employees,3.7,IT Services & Consulting,Skill Development / Learning
Al Ahleia Switchgear,Safat +11 more,195,1k-5k Employees,3.3,Industrial Machinery,"Promotions / Appraisal, Salary & Benefits"
BOB Financial Solutions,29 years old,195,201-500 Employees,3.8,Financial Services,null
Arya Omnitalk,null,195,501-1k Employees,4.2,Electronics Manufacturing,"Job Security, Company Culture, Work Life Balance"
Saregama India,122 years old,195,201-500 Employees,4.0,Media & Entertainment,"Salary & Benefits, Company Culture"
IndustryBuying.com,10 years old,195,51-200 Employees,3.2,Import & Export,"Job Security, Promotions / Appraisal"
Mobius Knowledge Services,Chennai +2 more,194,1k-5k Employees,3.7,Printing & Publishing,"Promotions / Appraisal, Salary & Benefits"
Shyam Indus Power Solutions,Delhi/NCR +24 more,194,1k-5k Employees,3.7,Power,null
AISECT,Bhopal +44 more,194,5k-10k Employees,3.9,Education & Training,"Work Life Balance, Company Culture, Skill Development / Learning"
Mitsui O.S.K. Lines,139 years old,194,51-200 Employees,4.0,Ports & Shipping,"Job Security, Work Life Balance, Company Culture"
Sistema Shyam Teleservices,Gurugram +42 more,194,1k-5k Employees,4.8,Telecom,"Work Life Balance, Work Satisfaction, Salary & Benefits"
Path Infotech,Noida +7 more,194,201-500 Employees,4.0,IT Services & Consulting,"Company Culture, Job Security, Work Life Balance"
Vyom Labs,Pune +7 more,194,501-1k Employees,3.3,IT Services & Consulting,Salary & Benefits
ABCD,null,194,201-500 Employees,3.8,Education & Training,Work Life Balance
Padmini VNA Mechatronics,Gurgaon/Gurugram +1 more,194,501-1k Employees,4.2,Auto Components,"Skill Development / Learning, Salary & Benefits, Work Life Balance"
MosChip Technologies,24 years old,194,1k-5k Employees,4.4,Semiconductors,"Job Security, Skill Development / Learning, Company Culture"
Jindal Power,16 years old,194,5k-10k Employees,3.8,Metals & Mining,Job Security
Gaja Engineering,Hyderabad +22 more,194,201-500 Employees,4.1,Engineering & Construction,"Work Life Balance, Job Security, Company Culture"
Dalmia-OCL,New Delhi +27 more,194,501-1k Employees (Global),3.7,Building Material,Job Security
Ugro Capital,30 years old,194,1k-5k Employees,3.8,NBFC,Salary & Benefits
Basicfirst Learning,Bengaluru/Bangalore +25 more,194,51-200 Employees,3.4,EdTech,null
Futwork,Mumbai +8 more,194,Startup,4.2,Internet,"Company Culture, Skill Development / Learning, Work Life Balance"
Creative Hands HR Consultancy,Chennai +36 more,194,51-200 Employees (Global),3.8,Recruitment,"Job Security, Work Satisfaction, Work Life Balance"
Bellsonica Auto Component,Gurgaon/Gurugram +7 more,194,201-500 Employees,3.9,Auto Components,Work Life Balance
Minda Kosei Aluminum Wheel,Bawal +11 more,194,501-1k Employees,4.0,Auto Components,"Job Security, Skill Development / Learning, Company Culture"
AYN InfoTech,14 years old,194,51-200 Employees,4.7,IT Services & Consulting,"Work Life Balance, Work Satisfaction, Job Security"
Ratnamani Metals and Tubes,40 years old,194,1k-5k Employees,4.3,Building Material,"Job Security, Work Life Balance, Company Culture"
AgreeYa Solutions,Folsom +8 more,193,501-1k Employees,3.4,Software Product,null
Polyplex,39 years old,193,1k-5k Employees,4.3,Chemicals / Agri Inputs,"Job Security, Work Life Balance, Company Culture"
Uae Exchange & Financial Services,Abu Dhabi +66 more,193,501-1k Employees,3.7,FinTech,null
Indo German Tool Room,Ahmedabad +13 more,193,51-200 Employees,3.9,Government,"Skill Development / Learning, Work Satisfaction, Company Culture"
Imarticus Learning,11 years old,193,501-1k Employees,4.2,EdTech,"Skill Development / Learning, Company Culture, Work Satisfaction"
Amrita Institute of Medical Sciences and Research,Kochi/Cochin +10 more,193,5k-10k Employees,3.9,Healthcare,null
N Ranga Rao And Sons,Mysore/Mysuru +48 more,193,1k-5k Employees,4.1,FMCG,"Company Culture, Work Life Balance, Job Security"
Hyundai Heavy Industries,Ulsan +20 more,193,Public,3.9,201-500 Employees,null
Connectwise India,null,193,1k-5k Employees,3.9,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance"
Columbia Petro Chem,Mumbai +10 more,193,51-200 Employees,4.0,Oil & Gas,"Salary & Benefits, Work Life Balance, Work Satisfaction"
Theobroma Foods,Mumbai +18 more,193,51-200 Employees,3.8,Food Processing,null
Weddingz.in,8 years old,193,501-1k Employees,3.2,Internet,"Job Security, Promotions / Appraisal"
MRF Vapocure Paints,Chennai +53 more,193,51-200 Employees,3.8,Chemicals,null
Pitney Bowes,Stamford +11 more,193,501-1k Employees,4.1,IT Services & Consulting,"Work Life Balance, Salary & Benefits, Company Culture"
Hicare Services,null,193,20 years old,3.8,501-1k Employees,null
Protiviti,Menlo Park +14 more,193,1k-5k Employees,3.5,Management Consulting,null
Bhavani Industries,Bangalore/Bengaluru +12 more,192,201-500 Employees (Global),3.6,Industrial Machinery,null
MSCI,54 years old,192,1k-5k Employees,4.0,Financial Services,"Salary & Benefits, Company Culture, Skill Development / Learning"
Superhouse,17 years old,192,501-1k Employees,3.3,Leather,Promotions / Appraisal
Mindteck,Bangalore/Bengaluru +7 more,192,501-1k Employees,3.4,IT Services & Consulting,Promotions / Appraisal
Samsung SDS,38 years old,192,1k-5k Employees,3.4,IT Services & Consulting,null
Paradeep Phosphates,42 years old,192,501-1k Employees,4.1,Agro Chemicals,"Job Security, Work Life Balance"
Toshiba,148 years old,192,201-500 Employees,4.1,Industrial Machinery,"Work Life Balance, Job Security, Company Culture"
Jain University,Bangalore +7 more,192,1k-5k Employees,3.6,Education & Training,null
Dynamic Beneficial Accord Marketing,Chandigarh +45 more,192,1k-5k Employees,4.2,Internet,"Skill Development / Learning, Company Culture, Work Life Balance"
Drydocks World Dubai,Dubai +12 more,192,1k-5k Employees,4.2,Ports & Shipping,"Salary & Benefits, Skill Development / Learning, Company Culture"
Mitsubishi Elevators,Tokyo +20 more,192,1k-5k Employees,4.0,Industrial Machinery,"Job Security, Work Life Balance, Company Culture"
Big C,null,192,21 years old,4.0,1k-5k Employees,Skill Development / Learning
Indchemie Health Specialities,Mumbai +41 more,192,1k-5k Employees,4.0,Pharma,"Job Security, Work Life Balance, Company Culture"
Modi Mundi Pharma,Delhi/NCR +34 more,192,201-500 Employees,3.9,Pharma,"Skill Development / Learning, Company Culture, Work Life Balance"
Amentum,null,192,51-200 Employees,4.4,Defence & Aerospace,"Work Life Balance, Skill Development / Learning, Company Culture"
Greentech Industries,Naidupet Mandal +7 more,192,5k-10k Employees,3.9,Industrial Machinery,"Company Culture, Job Security, Skill Development / Learning"
TMEIC,Tokyo +6 more,192,201-500 Employees,3.9,Industrial Machinery,"Job Security, Work Life Balance"
Signature Global,New Jersey +7 more,192,51-200 Employees,4.0,Real Estate,"Salary & Benefits, Job Security, Promotions / Appraisal"
Sterling Talent Solutions,Bothell +2 more,192,1k-5k Employees,3.8,Internet,null
Central Institute of Mining and Fuel Research,Dhanbad +12 more,192,501-1k Employees,3.8,Education & Training,"Job Security, Promotions / Appraisal"
Talwalkars Better value Fitness,91 years old,192,201-500 Employees,4.0,Fitness & Wellness,"Skill Development / Learning, Work Life Balance"
B S R & Co Llp,null,192,5k-10k Employees,3.4,Accounting & Auditing,Job Security
Anand Rathi: Online Stock Trading & Advisory,Mumbai +34 more,192,1k-5k Employees,3.9,Financial Services,Work Life Balance
RWS Group,Chalfont St Peter +10 more,192,5k-10k Employees,4.0,IT Services & Consulting,"Company Culture, Job Security, Work Life Balance"
Entab Infotech,Delhi/NCR +11 more,192,501-1k Employees,2.9,EdTech,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
Micromatic Machine Tools,50 years old,192,501-1k Employees,4.6,Industrial Machinery,"Skill Development / Learning, Company Culture, Work Satisfaction"
The Professional Couriers,Navi Mumbai +51 more,192,1k-5k Employees,3.7,Logistics,null
Popular Vehicles and Services,Ernakulam +18 more,191,1k-5k Employees,4.2,Automobile,"Skill Development / Learning, Job Security, Company Culture"
NextGen Healthcare,Atlanta +8 more,191,501-1k Employees,3.5,IT Services & Consulting,Work Life Balance
TATA Advanced Materials,33 years old,191,501-1k Employees,3.9,Defence & Aerospace,Skill Development / Learning
Veer-O-- Metals,Bangalore/Bengaluru +4 more,191,201-500 Employees,4.2,Industrial Machinery,"Skill Development / Learning, Company Culture, Job Security"
Zamil Air Conditioners,Dammam +19 more,191,201-500 Employees,4.1,Consumer Electronics & Appliances,"Job Security, Work Life Balance, Company Culture"
Rupa,Kolkata +23 more,191,1k-5k Employees,3.8,Fashion & Textile,null
Microsense,Collegeville +25 more,191,201-500 Employees,3.6,IT Services & Consulting,null
Namaste India Foods,Kanpur +20 more,191,11-50 Employees,3.9,Food Processing,Skill Development / Learning
Al-Yamama Group,Dammam +16 more,191,51-200 Employees,3.8,Engineering & Construction,null
Namaste India Foods,Kanpur +20 more,191,11-50 Employees,3.9,Food Processing,Skill Development / Learning
Zamil Air Conditioners,Dammam +19 more,191,201-500 Employees,4.1,Consumer Electronics & Appliances,"Job Security, Work Life Balance, Company Culture"
Hinduja Finance,Mumbai +98 more,191,201-500 Employees,4.1,NBFC,"Work Life Balance, Work Satisfaction, Skill Development / Learning"
Prabhat Dairy,25 years old,191,201-500 Employees,3.8,FMCG,Skill Development / Learning
GMR Energy,27 years old,191,1k-5k Employees,4.4,Power,"Job Security, Skill Development / Learning, Company Culture"
Plada Infotech Services,Mumbai +37 more,191,11-50 Employees,3.6,IT Services & Consulting,null
Europa Locks,Pune +19 more,191,51-200 Employees,3.5,Industrial Machinery,null
Imperative Business Ventures,Mumbai +5 more,191,501-1k Employees,4.4,IT Services & Consulting,"Company Culture, Skill Development / Learning, Job Security"
Honda India Power Products,null,191,1k-5k Employees,4.3,Industrial Machinery,"Job Security, Work Life Balance, Company Culture"
Hinduja Group,14 years old,191,1 Lakh+ Employees,4.1,Automobile,"Work Life Balance, Company Culture, Work Satisfaction"
Rajasthan Patrika,Jaipur +38 more,190,1k-5k Employees,3.2,Broadcasting,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Aristocrat Technologies,North Ryde +6 more,190,501-1k Employees,4.1,Gaming,"Company Culture, Work Life Balance, Job Security"
Edureka,12 years old,190,501-1k Employees,3.5,EdTech,null
doodleblue innovation,Chennai +3 more,190,501-1k Employees,4.3,IT Services & Consulting,"Skill Development / Learning, Company Culture, Work Life Balance"
Compunnel,Plainsboro Township +12 more,190,501-1k Employees,3.9,IT Services & Consulting,"Work Life Balance, Salary & Benefits, Company Culture"
Javi Systems,Bangalore/Bengaluru +34 more,190,201-500 Employees,3.7,IT Services & Consulting,null
KrazyBee,7 years old,190,51-200 Employees,3.8,Internet,null
SGT University,Gurgaon/Gurugram +4 more,190,501-1k Employees,3.5,Education & Training,null
Brinton Pharmaceuticals,Pune +26 more,190,201-500 Employees,4.1,Pharma,"Job Security, Skill Development / Learning, Salary & Benefits"
Autometers Alliance,Noida +10 more,190,501-1k Employees,4.3,Semiconductors,"Work Life Balance, Job Security, Company Culture"
Annalect,New York +9 more,190,501-1k Employees,4.0,Marketing & Advertising,"Job Security, Work Life Balance, Company Culture"
Liberty Shoes,69 years old,190,51-200 Employees,3.8,Fashion & Textile,Job Security
LiquidHub,Wayne +8 more,190,1k-5k Employees,3.8,IT Services & Consulting,Job Security
Gold's Gym,Dallas +48 more,190,1-10 Employees,4.0,Fitness & Wellness,"Work Life Balance, Work Satisfaction, Skill Development / Learning"
IMC,Chennai +33 more,190,501-1k Employees,4.0,Ports & Shipping,"Job Security, Work Life Balance"
Kangaro Industries,Ludhiana +16 more,190,501-1k Employees,3.8,FMCG,"Job Security, Company Culture"
Symphony,35 years old,190,201-500 Employees,4.1,Consumer Electronics & Appliances,"Work Life Balance, Company Culture, Skill Development / Learning"
Satguru Travels and Tour Services,Dubai +26 more,190,201-500 Employees,3.1,Travel & Tourism,"Promotions / Appraisal, Salary & Benefits, Company Culture"
K D Hospital,null,190,5 years old,4.6,11-50 Employees,"Skill Development / Learning, Job Security, Company Culture"
Pulse Pharmaceuticals,Hyderabad/Secunderabad +30 more,190,1k-5k Employees,3.7,Pharma,null
Himadri Speciality Chemical,36 years old,190,1k-5k Employees,3.8,Chemicals,Job Security
Securens System,11 years old,190,201-500 Employees,3.9,Law Enforcement & Security,null
Sears Holdings,14 years old,190,501-1k Employees,3.7,Retail,null
Synergy Property Development Services,Bangalore/Bengaluru +22 more,190,201-500 Employees,3.7,Real Estate,null
Epsilon Carbon,Mumbai +11 more,190,501-1k Employees,3.8,Chemicals,Salary & Benefits
Alchem International,Gurgaon/Gurugram +20 more,190,201-500 Employees,3.8,Pharma,Salary & Benefits
Naandi Foundation,Hyderabad/Secunderabad +41 more,189,201-500 Employees,3.9,Non-Profit,"Skill Development / Learning, Work Satisfaction"
NGA HR,Hemel Hempstead +18 more,189,1k-5k Employees,4.0,BPO,"Work Life Balance, Company Culture, Job Security"
Box8,Mumbai +14 more,189,1k-5k Employees,3.4,Hospitality,"Work Life Balance, Job Security"
ITCONS e-Solutions,Noida +57 more,189,1k-5k Employees,3.6,IT Services & Consulting,null
Creamline Dairy Products,Hyderabad/Secunderabad +20 more,189,501-1k Employees,4.1,Food Processing,"Job Security, Work Life Balance, Company Culture"
Uniinfo Telecom Services,13 years old,189,201-500 Employees,3.9,Telecom,null
Meenakshi Polymers,Gurgaon/Gurugram +17 more,189,501-1k Employees,3.7,Auto Components,null
Tekwissen,Ann Arbor +4 more,189,201-500 Employees,4.6,IT Services & Consulting,"Skill Development / Learning, Company Culture, Work Satisfaction"
Diverse Lynx,Princeton +10 more,189,51-200 Employees,3.7,IT Services & Consulting,null
Gi Group,Milan +37 more,189,51-200 Employees,3.6,Recruitment,null
SirionLabs,11 years old,189,501-1k Employees,3.2,IT Services & Consulting,"Job Security, Promotions / Appraisal"
SHV Energy,Hoofddorp +25 more,189,201-500 Employees,3.8,Oil & Gas,null
Robosoft Technologies,New Udupi +5 more,189,1k-5k Employees,3.7,IT Services & Consulting,null
Anglo-Eastern Ship Management,Kowloon +11 more,189,10k-50k Employees,4.0,Ports & Shipping,"Job Security, Skill Development / Learning, Company Culture"
MEDOPHARM,Chennai +16 more,189,1k-5k Employees,3.4,Pharma,"Promotions / Appraisal, Salary & Benefits, Company Culture"
The KCP,82 years old,189,1k-5k Employees,4.2,Building Material,"Skill Development / Learning, Job Security, Work Satisfaction"
Expert Global Solutions,Aurangabad +5 more,189,1k-5k Employees,3.7,BPO,null
Cyber Infrastructure,San Jose +2 more,189,501-1k Employees,3.5,IT Services & Consulting,null
Taraashna Financial Services,Gurgaon +52 more,189,51-200 Employees,4.1,Financial Services,"Skill Development / Learning, Work Life Balance, Salary & Benefits"
Teachmint,3 years old,189,501-1k Employees,3.5,EdTech,Salary & Benefits
Common Service Centres,New Delhi +83 more,189,201-500 Employees,4.3,Government,"Skill Development / Learning, Work Satisfaction, Work Life Balance"
Vini Cosmetics,Ahmedabad +54 more,189,201-500 Employees,3.8,Beauty & Personal Care,Salary & Benefits
Trackon Courier,Delhi/NCR +48 more,189,51-200 Employees,3.6,Logistics,Promotions / Appraisal
TJSB Sahakari Bank,Thane +24 more,189,1k-5k Employees,3.7,Banking,Job Security
Slr Metaliks,Karnataka +7 more,189,1k-5k Employees,4.3,Iron & Steel,"Skill Development / Learning, Work Satisfaction, Job Security"
Rajiv Gandhi Cancer Institute & Research Centre,Delhi/NCR +3 more,189,1k-5k Employees,3.9,Healthcare,null
Hummingwave Technologies,Bangalore +5 more,189,11-50 Employees,4.9,IT Services & Consulting,"Company Culture, Skill Development / Learning, Work Satisfaction"
Zovian Technologies,Bangalore +3 more,189,1-10 Employees,4.9,IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction"
MSP Steel & Power,93 years old,189,1k-5k Employees,3.9,Iron & Steel,"Job Security, Work Life Balance, Skill Development / Learning"
Mindfire Solutions,Bhubaneswar +3 more,188,501-1k Employees,4.0,Software Product,"Work Life Balance, Job Security, Company Culture"
Volvo Trucks,Gothenburg +26 more,188,1k-5k Employees,4.1,Automobile,"Job Security, Work Life Balance, Company Culture"
Mantri Developers,Bangalore/Bengaluru +6 more,188,501-1k Employees,3.6,Real Estate,null
BARC,78 years old,188,10k-50k Employees,4.3,Defence & Aerospace,"Work Life Balance, Job Security, Skill Development / Learning"
Praxair,Danbury +25 more,188,201-500 Employees,4.2,Chemicals,"Company Culture, Skill Development / Learning, Salary & Benefits"
KJS Cement,Satna +25 more,188,1k-5k Employees,3.7,Building Material,null
Apex CoVantage,Miami Beach +7 more,188,51-200 Employees,3.5,IT Services & Consulting,Promotions / Appraisal
Spectranet,Gurgaon/Gurugram +11 more,188,501-1k Employees,3.9,Telecom,"Work Life Balance, Company Culture, Skill Development / Learning"
Shorthills AI,New Jersey +2 more,188,51-200 Employees,4.6,IT Services & Consulting,"Company Culture, Work Life Balance, Skill Development / Learning"
PowerSchool India,Folsom +3 more,188,1k-5k Employees,3.9,EdTech,"Job Security, Company Culture, Work Life Balance"
Policyboss.com,Mumbai +29 more,188,1k-5k Employees,3.3,Insurance,"Promotions / Appraisal, Salary & Benefits"
Kyndal India,null,188,21 years old,3.8,51-200 Employees,"Work Life Balance, Job Security, Skill Development / Learning"
Plasser India,Faridabad +6 more,188,501-1k Employees,3.9,Industrial Machinery,Salary & Benefits
Bain & Company,Boston +8 more,187,1k-5k Employees,3.8,Management Consulting,"Job Security, Salary & Benefits, Company Culture"
Freecharge,13 years old,187,501-1k Employees,3.8,FinTech,Work Life Balance
Odessa,Philadelphia +2 more,187,1k-5k Employees,3.7,Software Product,"Job Security, Company Culture"
United India Insurance Company,85 years old,187,10k-50k Employees,4.3,Insurance,"Job Security, Work Life Balance, Work Satisfaction"
Goibibo,Gurgaon +20 more,187,1k-5k Employees,4.3,Internet,"Company Culture, Job Security, Work Life Balance"
IM Gears,Chennai +4 more,187,201-500 Employees,3.6,Auto Components,Skill Development / Learning
Smc Insurance Brokers,Delhi/NCR +32 more,187,501-1k Employees,4.0,Insurance,"Work Life Balance, Skill Development / Learning, Salary & Benefits"
Kusum Healthcare,Delhi/NCR +6 more,187,501-1k Employees,4.1,Pharma,"Work Life Balance, Job Security, Company Culture"
Costa Cruise Lines,Genoa +11 more,187,51-200 Employees,4.3,Travel & Tourism,"Job Security, Skill Development / Learning, Company Culture"
Asia-Pacific Institute of Management,Delhi/NCR +5 more,187,51-200 Employees,4.4,Education & Training,"Company Culture, Skill Development / Learning, Work Life Balance"
WSP,Montreal +18 more,187,1k-5k Employees,4.1,Agro Chemicals,"Company Culture, Work Life Balance, Salary & Benefits"
FUJIFILM,Tokyo +22 more,187,501-1k Employees,3.9,Animation & VFX,"Salary & Benefits, Work Life Balance"
Allengers Medical Systems,36 years old,187,1k-5k Employees,3.5,Medical Equipment,null
InKnowTech,Bangalore/Bengaluru +23 more,187,201-500 Employees,3.5,IT Services & Consulting,Promotions / Appraisal
Muthoot Capital Services,29 years old,187,1k-5k Employees,3.8,Financial Services,Job Security
Billabong High International School,14 years old,187,51-200 Employees,3.7,Education & Training,null
Vision Express,Bangalore/Bengaluru +32 more,187,501-1k Employees,4.2,Retail,"Skill Development / Learning, Job Security, Company Culture"
Central Institute of Plastics Engineering & Technology,55 years old,187,51-200 Employees,3.8,Education & Training,null
Reliance Projects & Property Management Services,null,187,Mumbai +82 more,4.0,IT Services & Consulting,"Job Security, Skill Development / Learning, Company Culture"
Stellar Innovations,Dayton +6 more,187,201-500 Employees,3.4,IT Services & Consulting,null
Universal Corporation,Kikuyu +32 more,187,1k-5k Employees,3.7,Pharma,Salary & Benefits
Gopaljee Dairy Foods,Noida +27 more,187,501-1k Employees,3.9,Food Processing,null
Brg Iron And Steel Co.,Kolkata +9 more,187,51-200 Employees,3.4,Metals & Mining,"Promotions / Appraisal, Job Security, Salary & Benefits"
Solv,null,187,4 years old,3.8,201-500 Employees,Salary & Benefits
Balaji Wafers,Rajkot +31 more,187,1k-5k Employees,4.2,Food Processing,"Company Culture, Job Security, Work Life Balance"
Sanghi Cement,null,187,501-1k Employees,3.6,Building Material,"Work Satisfaction, Job Security, Skill Development / Learning"
Barista Coffee Company,Delhi/NCR +24 more,187,1k-5k Employees,4.2,Beverage,"Work Life Balance, Company Culture, Work Satisfaction"
TresVista,Mumbai +9 more,187,1k-5k Employees,3.1,Financial Services,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
Gufic Biosciences,53 years old,187,501-1k Employees,3.4,Pharma,"Promotions / Appraisal, Salary & Benefits"
VISA Steel,27 years old,186,1k-5k Employees,3.9,Iron & Steel,Work Life Balance
Kaleesuwari Refinery,Chennai +37 more,186,501-1k Employees,3.9,FMCG,null
Amcor Flexibles India,159 years old,186,201-500 Employees,3.7,Packaging,null
TAJSATS AIR CATERING,47 years old,186,51-200 Employees,4.2,Hospitality,"Job Security, Work Life Balance, Company Culture"
TITAGARH WAGONS,25 years old,186,501-1k Employees,3.1,Railways,"Company Culture, Work Life Balance, Promotions / Appraisal"
GfK MODE,Nuremberg +15 more,186,51-200 Employees,3.5,Analytics & KPO,Job Security
SYSTRA,66 years old,186,1k-5k Employees,4.0,Urban Transport,Work Life Balance
SMR Automotive Systems India,Stuttgart +15 more,186,201-500 Employees,3.9,Auto Components,"Job Security, Skill Development / Learning"
National Insurance Company,117 years old,186,5k-10k Employees,4.2,Insurance,"Work Life Balance, Job Security, Work Satisfaction"
Cryoviva Biotech,Gurgaon/Gurugram +37 more,186,501-1k Employees,3.2,Biotechnology,Promotions / Appraisal
Puzzolana Machinery Fabricators,Hyderabad/Secunderabad +7 more,186,501-1k Employees,3.8,Industrial Machinery,Promotions / Appraisal
DBG Technology,Huizhou +8 more,186,1k-5k Employees,4.1,Electronics Manufacturing,"Job Security, Work Life Balance, Salary & Benefits"
Ebix Payment Services,null,186,1k-5k Employees,3.6,Financial Services,null
Verzeo,Bangalore +10 more,186,11-50 Employees,2.7,EdTech,"Job Security, Salary & Benefits, Work Satisfaction"
CityMall,4 years old,186,1k-5k Employees,3.2,Internet,"Job Security, Company Culture"
The Sparks Foundation,Singapore +14 more,186,5k-10k Employees,4.3,Education & Training,"Work Life Balance, Skill Development / Learning, Company Culture"
Aachi Foods,Chennai +25 more,186,501-1k Employees,4.0,FMCG,Job Security
Delphi Automotive Systems,29 years old,186,51-200 Employees,4.0,Auto Components,Skill Development / Learning
Avantor,119 years old,186,1k-5k Employees,3.7,Biotechnology,null
Sentiss Pharma,Gurgaon/Gurugram +13 more,186,501-1k Employees,4.0,Healthcare,"Skill Development / Learning, Company Culture, Work Life Balance"
SMC,35 years old,186,201-500 Employees,3.7,Medical Equipment,"Job Security, Work Life Balance, Salary & Benefits"
Essar Power,26 years old,186,5k-10k Employees,4.3,Power,"Job Security, Work Life Balance, Company Culture"
High Street Essentials,null,186,501-1k Employees,4.4,Retail,"Work Life Balance, Company Culture, Work Satisfaction"
Clix Capital Services,Gurgaon +20 more,186,201-500 Employees,3.6,Investment Banking / Venture Capital / Private Equity,null
Zen3 Info Solutions,Redmond +2 more,186,201-500 Employees,3.9,IT Services & Consulting,"Work Life Balance, Company Culture"
Bravura Solutions,Gurgaon/Gurugram +1 more,186,201-500 Employees,4.3,Software Product,"Work Life Balance, Company Culture, Job Security"
St. John's Medical College Hospital,Bangalore/Bengaluru +9 more,186,1k-5k Employees,4.0,Analytics & KPO,"Job Security, Skill Development / Learning"
Forbes & Company,258 years old,185,501-1k Employees,4.1,Engineering & Construction,"Job Security, Work Life Balance, Company Culture"
Matrix Cellular Services,Delhi +20 more,185,51-200 Employees,3.5,Telecom,Job Security
MindGate Solutions,Mumbai +6 more,185,501-1k Employees,3.4,IT Services & Consulting,null
AGI Glaspac,Hyderabad +5 more,185,1k-5k Employees,3.8,Packaging,Job Security
Clifford Chance,Gurgaon/Gurugram +3 more,185,501-1k Employees,3.8,IT Services & Consulting,"Job Security, Work Life Balance"
Fresenius Medical Care,27 years old,185,201-500 Employees,3.8,Healthcare,Job Security
Borosil Glass Works,Mumbai +25 more,185,Public,3.7,501-1k Employees,Salary & Benefits
Thermax Babcock Wilcox Energy Solutions,Pune +16 more,185,51-200 Employees,4.1,Oil & Gas,"Job Security, Company Culture, Work Life Balance"
DCDC Kidney Care,Delhi +46 more,185,201-500 Employees,4.2,Healthcare,"Work Life Balance, Company Culture, Skill Development / Learning"
BDR Pharmaceuticals International,Mumbai +15 more,185,1k-5k Employees,3.7,Pharma,Job Security
Solitaire World,Pune +3 more,185,201-500 Employees,4.0,Real Estate,"Company Culture, Skill Development / Learning"
Flash Viven Machining Technologies,New Delhi +1 more,185,1k-5k Employees,3.8,Electronics Manufacturing,Skill Development / Learning
TrueBlue,Tacoma +3 more,185,51-200 Employees,4.0,Recruitment,"Work Life Balance, Company Culture"
PSA AVTEC Powertrain,Hosur +7 more,185,51-200 Employees,3.4,Auto Components,null
